message,emosi
"Ada yg nonton telkomsel award ga? Aku pengen lihat ZICOðŸ˜­ðŸ˜­ apa aku beli tiketnya trus nonton aja kali yaa, tapi takut capek banget krn besoknya itu ke ICE BSD konser Taeyeon",1
"Data pribadi bisa dicuri melalui jaringan Indosat yang sering error, saya khawatir sekali. 🔒 #IndosatData",1
"Akan sangat menakutkan jika sinyal 3 tiba-tiba putus saat ada panggilan penting dengan atasan Anda, itu bisa merusak semua rencana Anda. #3Putuskan sambungan #Panggilan Penting",1
"Setelah isi ulang kuota di @Telkomsel, malah belum masuk juga. Saya benar-benar takut kalau ini ada masalah besar dengan layanan mereka. 😟",1
"Serem juga ya, data pribadi di kartu 3 bisa aja kena hack.",1
"Internet XL sering lemot, cemas nggak bisa submit tugas kuliah tepat waktu.",1
Bagaimana jika kita disadap saat panggilan telepon penting?,1
"Internet XL sering mati tiba-tiba, saya stres saat streaming film dan koneksi terputus.",1
"Data pribadi bisa dicuri melalui jaringan Indosat yang sering bermasalah, saya khawatir sekali. #IndosatKhawatir",1
"Takut kalo ada yang nyadap telepon kita lewat XL, privasi terancam. 🚨 #XLNyadap",1
"Udah sering pake nomor Indosat, tapi tiba-tiba aja diblokir. Deg-degan banget, khawatir ada yang salah atau ada ancaman.",1
"Sinyal 3 sering banget putus, bikin deg-degan pas lagi nelpon penting. 📞 #3Putus",1
"Astagaaa, tadi mau isi voucher, tapi kok gagal terus ya? Udah coba berkali-kali, malah bikin deg-degan! 😨 @IndosatCare, ada masalah apa nih? #GagalIsiVoucher #BantuanDiperlukan",1
"@Telkomsel Selamat malam, barusan saya isi kuota data di Tokopedia utk nomor 0812********. Pertanyaannya adl, kenapa pada invoice tidak terlihat nomor tujuan? Sudah sy DM SS invoice-nya",1
"Saya tidak menyangka, tiba-tiba saya tidak bisa login ke akun layanan saya. Saya sudah mencoba beberapa kali, namun tetap tidak bisa login. Jadi saya panik, saya takut akun saya diretas. @Telkomsel mohon dicek dan dibantu, saya memerlukan akses ke akun ini. 😨 #LoginGagal #TolongBantuan",1
Takut sinyal Telkomsel putus di saat penting. #TelkomselPutus,1
"Betul, saya sudah bayar paketnya, tapi layanannya malah tidak aktif! 😰 @Telkomsel gimana, bisa bantu aktivasi paketnya? #PaketTidak Aktif #BantuanDiperlukan",1
Ketidakpastian yang ditimbulkan oleh gangguan Telkomsel membuat saya merasa tidak aman. Tidak jarang saya harus menunggu lama untuk mendapatkan kembali sinyal yang hilang begitu saja. Inilah yang membuat saya bertanya-tanya apakah layanan tersebut bisa diandalkan saat situasi darurat. Perasaan khawatir ini seharusnya menjadi perhatian serius bagi operator.,1
"Sinyal tiba-tiba hilang saat panggilan penting, ngeri banget!",1
"Padahal sudah sebulan saya tidak isi pulsa, kartu saya kena blokir. Harga kuota juga semakin mahal. Saya sangat khawatir nomor ini tidak dapat digunakan lagi. @Indosat, tolong bantu saya 😨 #BlockedCard #NeedHelp",1
"Sinyal Indosat sering ngadat, bikin cemas kalau lagi nonton film favorit.",1
Kenapa pulsa @Telkomsel tidak bisa digunakan untuk membeli kuota? Takut ada masalah.,1
Kenapa ya sinyal di @Axis sering hilang? Takut ada yang nyadap telepon. 😖,1
Telkomsel sering kali kehilangan sinyal saat mendesak sehingga panik jika tidak bisa menghubungi orang penting.,1
"Axis sering crash saat browsing, khawatir tidak bisa mendapatkan informasi penting yang diperlukan untuk bekerja dan update hilang.",1
"Ini serius, @XL! Nomorku sering ditelepon nomor aneh dari luar negeri, aku takut banget!",1
"Kalau sinyal Telkomsel tiba-tiba hilang pas lagi keadaan darurat, itu bisa sangat berbahaya. Aku nggak bisa minta tolong sama siapa pun. 🚨 #TelkomselDarurat",1
Dapet telepon dari nomor nggak dikenal di @Telkomsel. 😬 Takut ini penipuan.,1
Indosat sering mati tiba-tiba karena takut ada panggilan penting. 📵 #IndosatPutus,1
Kartu @Indosat saya tiba-tiba habis masa berlakunya. 😟 Takutnya gak bisa aktif lagi.,1
"Pulsa di @Indosat habis tanpa sebab yang jelas. 😧 Tolong dicek, takutnya ada masalah.",1
"Pulsa Indosat hilang dengan sendirinya, bayangkan betapa takutnya.",1
Signal 3 sering terputus saat mengobrol dengan klien. Saya gugup dan takut informasinya tidak sampai.,1
"Layanan Axis gangguan sinyal, panik banget 😱 #Panik",1
"Kalau jaringan 3 tiba-tiba error saat ada urusan penting, bisa sangat merepotkan dan mengganggu. #3Error #Merepotkan",1
Internet XL sering lemot sehingga membuat saya khawatir jika ada tenggat waktu pekerjaan. ⏳ #XLLemot,1
"@Heraloebss â€¦Menakutkan semua mobile banking menggunakan nomor itu, tapi tagihan kartu halo dikirim ke orang lain. Akhirnya dengan berat hati saya berhenti menggunakan nomor itu, mengganti nomornya dan memulai dari awal lagi. Ternyata saya tidak sendirian. Sabar saja, kawan.",1
"Aduh, kenapa mau top up voucher, tapi gagal terus, bikin deg-degan! 😨 @AXISgsmCare, bisa bantu cek kenapa bisa seperti ini? #IsiVoucherGagal #Bantuan",1
"Gila! Baru saja mendapat telepon dari nomor tak dikenal, katanya dari @Telkomsel yang meminta data pribadi. Ini sangat menakutkan! 😰",1
"Beberapa waktu lalu, saya ditipu oleh seseorang yang mengaku dari Axis melalui panggilan telepon, dan sekarang saya sangat cemas tentang keamanan data pribadi saya. Apakah ada yang bisa saya lakukan untuk membatalkan transaksi tersebut dan mengamankan informasi saya?",1
"Sinyal 3 sering banget error pas lagi download file besar, cemas banget takut filenya nggak selesai dan nggak bisa dipakai buat kerjaan, deadline semakin dekat dan merasa tertekan. 💼 #3Error",1
"Kalau sinyal putus pas lagi ada urusan penting, bisa kacau.",1
"Kode OTP dari @Indosat datang terus-terusan, takut ini ada yang coba hack akun gue!",1
Layanan Axis seringkali mengalami kendala sinyal sehingga bingung jika harus berkomunikasi secara tiba-tiba. 😵 #Gangguan Sumbu,1
Tsel ini gua mau pake mbanking susah banget gak ada sinyal ðŸ˜¡,1
"Ketika XL tiba-tiba kehilangan jaringannya, saya merasa kehilangan kendali terhadap dunia digital. Ketakutan muncul karena saya tidak bisa melakukan aktivitas online yang biasa saya lakukan setiap hari. Saya merasa tidak siap menghadapi ketidakpastian akibat hilangnya jaringan ini.",1
"Internet XL sering crash, hati-hati saat mendownload file berukuran besar. ⏳ #XLNtanggal",1
"Internet XL sering banget lemot pas lagi streaming, cemas kalo filmnya tiba-tiba buffer dan nggak bisa ditonton sampai habis. ⏳ #XLLemot",1
"Wah, sinyalnya langsung buram, bikin deg-degan! 😱 @IndosatCare, ada masalah teknis? Bisakah ini diselesaikan? #SignalDisconnected #PerluPenjelasan",1
"Signal 3 sering error saat download file besar, khawatir tidak selesai. 💼 #3Kesalahan",1
"Sinyal Axis bikin bosan, lemot, maaf ya, takutnya gak bisa ikut grup chat untuk ngerjain tugas.",1
"Lagi urgent banget butuh telepon, tiba-tiba sinyal Telkomsel hilang. Panik abis, nggak bisa hubungi siapa-siapa. 🆘 #TelkomselHilang",1
"Layanan Axis sering gangguan sinyal, khawatir kalo harus komunikasi mendadak. 😟 #AxisGangguan",1
"Nomor @Telkomsel saya nggak bisa diaktifkan lagi. 😨 Takut banget, banyak data penting.",1
"Bayangin kalau hacker bisa nyadap jaringan XL, serem banget data pribadi bisa bocor. 🕵️‍♂️ #XLNyadap",1
"Sinyal indosat sering drop, saya khawatir hal ini terjadi.",1
"Pulsa @Telkomsel tiba-tiba hilang dengan sendirinya. 😣 Takut ada yang salah, mohon bantuannya.",1
"@Telkomsel Saya mau bertanya tentang status paket data saya, kenapa tidak pernah lancar? Saya masih memiliki 8giga tetapi saya tidak dapat menggunakannya.",1
"Data Pribadi Layanan Indosat Dicuri, Takut Banget 😨 #Takut",1
"Banyak banget keluhan soal layanan pelanggan Telkomsel, bikin gue takut masalah gue gak akan diselesaikan.",1
"Dengerin kabar produk baru Indosat, jadi deg-degan. 😰",1
"Gak nyangka tadi hampir aja di terror telepon! 😨 Nomer yang gak dikenal langsung nelpon, suaranya kayak dari film horor. Gimana dong, @Telkomsel, ada langkah antisipasi buat kasus-kasus kayak gini? 🤔 #TerrorTelepon #WaspadaiAncaman",1
"Sinyal Axis hilang saat diperjalanan, sehingga internet tidak bisa digunakan untuk GPS. Bisa banget tersesat kalau tidak ada sinyal. 🗺️ #AxisNyasar",1
"Indosat sering error, khawatir tidak bisa akses internet. #IndosatError",1
"Internet XL sering lemot, khawatir pekerjaan selalu tertunda, takut marah-marah ke bos.",1
"Saya menggunakan nomor Telkomsel, selalu ada yang mengirimkan SMS berhadiah meminta Telkomsel memblokir nomor saya",1
"@Telkomsel terima kasih atas infonya! tapi banyak yang menyedot pulsa, kuota utama yang utama, kenapa begitu? Saya juga takut untuk mengajukan klaim",1
"Serem banget nih @Indosat! Orang-orang menggunakan angka sesuka mereka, bagaimana Anda tidak khawatir!",1
"Astaga, tadi mau beli kuota, saldo udah kepotong, eh malah gagal, bikin deg-degan sendiri! 😱 @AXISgsmCare, bisa bantu cek kenapa bisa kayak gini? #SaldoHabis #ButuhPenjelasan",1
"Layanan Telkomsel sinyal sering hilang, takut kalo ada kejadian mendadak. 😨 #TelkomselHilang",1
"Kak ada apa ini, kartunya sudah hangus dan sinyalnya tidak ada layanan. Mohon bantuannya, kartu itu penting sekali karena berisi data-data penting 😟",1
"Jaringan 3 sering mengalami gangguan saat melakukan panggilan penting, membuat panik, takut chat berakhir dan tidak dapat melanjutkan, komunikasi terganggu dan merasa frustasi.",1
"@Telkomsel Halo
Bantu dong...kartu halo saya sudah lama hilang ..dan nomor dan kartunya sudah nga ada...apakah masih boleh di aktifkan kembali...",1
"Sinyal 3 sering banget mati sendiri, bikin deg-degan kalau lagi nelpon penting. 📞 #3Mati",1
"Axis sering mati mendadak pas browsing, khawatir nggak bisa akses info buat kerjaan.",1
"Sinyal Telkomsel sering hilang kalau penting, takutnya gak bisa update status. #TelkomselSignalHilang",1
"Pulsa di @Telkomsel tiba-tiba habis, padahal nggak dipakai. 😨 Takut banget kalau ada yang salah.",1
"Ngeri banget kalau sinyal 3 tiba-tiba putus saat sedang panggilan penting dengan klien, bisa kacau semua. #3Putus #Panggilan",1
"Ada nomor tak dikenal yang sering menelpon @Axis, dan setiap saya coba menjawabnya tidak ada suara di seberang sana, hal ini membuat saya merasa sangat was-was dan takut jika ini adalah metode penipuan yang merugikan.",1
"Pulsa saya tiba-tiba habis, entah kenapa! 😱 @AXISgsmCare, bisa bantu cek kenapa ini bisa terjadi? Bagaimana kamu bisa menyedot dirimu sendiri seperti itu? #PulsaSedot #Bingung Banget",1
Saya selalu khawatir data pribadi di ponsel saya akan disalahgunakan oleh orang yang tidak bertanggung jawab melalui jaringan Axis yang seringkali tidak aman. 📵 #SumbuData Pribadi,1
"Internet XL sering lemot, khawatir pekerjaan terus molor, takut marah-marah ke bos.",1
@Telkomsel ini gratis langganan prime video kok ga bisa dipakai yaaa?,1
"-Moa, penyedia apa yang bagus di Beach City? Saya pakai Tsel, katanya jelek huhuhu. Aku takut tidak ada sinyal untuk memberitahu orang tuaku :&lt;",1
buset gue kira imei gue ke blokir ternyata emang @byu_id nya aja yg bapuk UDAH PANIK INI GUE,1
Takut data pribadi disadap melalui jaringan Telkomsel. #TelkomselData,1
Gimana kalau telpon darurat nggak bisa masuk karena sinyal jelek?,1
"Sinyal Indosat tiba-tiba hilang di tengah panggilan penting, bikin panik!",1
XL lagi mau launching produk baru? Rasanya ada rasa khawatir gitu. Gimana kalo produk barunya malah bikin sinyal makin lemot dan bikin kita susah terhubung? Rasanya deg-degan aja mikirin itu. 😟,1
Telkomsel sering kali kehilangan sinyal saat keadaan mendesak sehingga membuat Anda panik jika tidak bisa menghubungi orang penting untuk meminta bantuan. 🆘 #TelkomselHilang,1
"Internet XL sering mati tiba-tiba, stres kalau streaming film favorit.",1
"Voucher @Axis tidak bisa diisi, saya sudah mencoba beberapa kali. Saya khawatir ini adalah masalah serius.",1
"Kuota di @Axis habis sendiri. 😟 Baru beli lho, takut ada yang salah.",1
"Sangat menakutkan sampai saya hampir diteror melalui telepon! 😱 Nomor tak dikenal langsung menelpon, suaranya seram banget. @XL123, ada saran buat pelanggan agar tidak mudah terintimidasi seperti ini? 🆘 #AwasTelephoneTerror #Jaga Keamanan",1
"Internet XL lemot parah, bikin aku stres karena kerjaan nggak kelar-kelar. Padahal deadline udah deket banget. ⏳ #XLLemot",1
"Internet XL super lambat, takut nggak bisa submit tugas tepat waktu. Stres banget! ⏳ #XLLambat",1
"Ya Tuhan, jujur saja sinyal Indosat di daerah saya bisa bikin was-was. Tak hanya lemot, seringkali hilang tiba-tiba padahal penting sekali untuk mengirim data ke kantor. Parahnya lagi, ini bukan kasus pertama, hal ini sangat sering terjadi. Capek, tiap mau telpon penting takut sinyalnya hilang!",1
"Saya baru saja memberikan informasi pribadi saya kepada seseorang yang mengaku dari Axis melalui panggilan telepon, dan sekarang saya merasa sangat takut akan potensi penyalahgunaan data saya. Bisakah Anda membantu saya membatalkan transaksi ini dan mengamankan informasi saya?",1
"@Telkomsel, pulsa saya kesedot terus tanpa alasan. 😱 Takut banget ada yang salah.",1
"Layanan 3 panggilan darurat nggak bisa nyambung, panik kalo ada situasi darurat. 😱 #3Darurat",1
"Sinyal di @XL sering hilang, takutnya ada yang mencegat ponsel saya! 😣",1
"Internet XL sering mati tiba-tiba, bikin stres kalau lagi streaming film favorit tiba-tiba buffer di tengah-tengah. ⏳ #XLMate",1
"Sinyal Axis tiba-tiba hilang saat jalan-jalan, butuh GPS, hilang! 🗺️ #AxisNyasar",1
"Internet XL sering lemot, membuat saya takut tidak bisa menyelesaikan pekerjaan tepat waktu. #XLslow #Kerja",1
"Astaga, tadinya aku mau beli kuota, saldoku terpotong, tapi gagal, membuatku deg-degan! 😰 @XL123, ada masalah teknis? #GagalMembeliKuota #ButuhBantuan",1
Indosat yang sering mengalami gangguan membuat saya was-was setiap kali harus mengandalkan jaringan tersebut untuk hal-hal penting. #IndosatGangguan #WasWas,1
"Aku tidak tahu harus berbuat apa lagi, nomorku dari SMP tiba-tiba hilang. 😖",1
"Telkomsel sering banget hilang sinyal pas lagi urgent, bikin panik kalo nggak bisa hubungi orang penting buat bantuan darurat, merasa nggak aman.",1
Sinyal Indosat tiba-tiba berhenti saat ada keperluan penting sehingga mengganggu aktivitas. 🛑 #IndosatPutus,1
"Indosat sering putus tiba-tiba, saya khawatir jika ada urusan penting dengan atasan.",1
"Telkomsel sinyalnya sering banget mati, panik banget kalau pas nelpon orang penting dan tiba-tiba putus. 📞 #TelkomselMati",1
Axis sering crash saat browsing karena khawatir membutuhkan informasi penting untuk bekerja.,1
Saya belum pernah menggunakan Allobank dan merasa terganggu dengan SMS tersebut. Saya ingin menarik nomor saya dari SMS promosi Allobank dan/atau mitra Telkomsel lainnya. Silakan proses permintaan penarikan saya @Telkomsel,1
"Ketika koneksi XL tiba-tiba terputus, perasaan takut langsung menghantui. Apalagi jika sedang dalam perjalanan penting atau membutuhkan akses internet mendesak. Rasa khawatir akan ketersediaan layanan yang tidak stabil ini seharusnya menjadi perhatian utama XL untuk menjaga kepercayaan pelanggannya.",1
"Telkomsel sinyal sering hilang pas nelpon, was-was nggak bisa nyambung. #TelkomselHilang",1
RT @cutiemutiepie: Seram banget banyak yang komen jual tiket telkomsel tapi akunnya LNðŸ˜©âœ‹,1
"Takut kalo hacker bisa nyadap data penting lewat jaringan Telkomsel, semua informasi pribadi bisa bocor. 🕵️‍♂️ #TelkomselHacker",1
"Wah, denger kabar Telkomsel mau luncurin produk baru, tapi gue merinding mikirin apa sinyalnya bakal lebih ngaco lagi. Bikin khawatir banget kalo harus bergantung sama produk baru yang belum tentu stabil.",1
"Telkomsel tiba-tiba hilang sinyal, bikin deg-degan. 😨",1
"Internet XL sering mati tiba-tiba, bikin cemas kalau lagi streaming film favorit.",1
"Sinyal Indosat tiba-tiba berhenti ketika ada keperluan mendesak, aktivitas menjadi terganggu dan merepotkan. 📵 #IndosatPutus",1
Pulsa @Axis tersedot padahal tidak digunakan untuk apa pun. Saya khawatir mengapa hal itu bisa terjadi.,1
"@Telkomsel cek dm ya min tolong urgent, makasih banyak",1
"Telkomsel sering kehilangan sinyal, saya panik banget kalau mendesak dan tidak bisa menghubungi siapa pun. 🆘 #TelkomselHilang",1
Mengapa jaringan sering error? Sangat menakutkan!,1
"Layanan Axis sering gangguan sinyal, ngeri nggak bisa hubungi keluarga. 😧 #AxisGangguan",1
"@aduanPPI tolong blokir nomor 081277820246, orang ini mengaku ayah saya dan meminta uang di WhatsApp. @Telkomsel @simPATI #penipuan #penipuan #ScamAlert",1
"Sinyal layanan Telkomsel tiba-tiba hilang, panik banget 😱 #Panik",1
"Telkomsel down lagi aduh, bikin deg-degan, khawatir gak bisa ikutan Twitter Space seru itu.",1
"Indosat lagi down, serasa terputus dari dunia luar, bikin was-was.",1
"Selamat malam admin, mohon balasan DM saya mengenai pemblokiran sim karena hp hilang. terima kasih @Telkomsel",1
Adakah yang bisa membantu? Baru isi kuota di @3Indonesia tapi gak masuk. Takut ketipu! 😱,1
Kecemasan menyelimuti pikiran saya ketika mengetahui nomor Indosat diblokir tanpa alasan yang jelas.,1
Aku khawatir banget data pribadi yang ada di ponsel bisa disalahgunakan oleh orang yang nggak bertanggung jawab lewat jaringan Axis. Rasanya nggak aman banget. 📵 #AxisDataPribadi,1
"Sinyal 3 sering banget ilang-ilangan, was-was kalo lagi nunggu kabar penting dari keluarga.",1
"@Telkomsel Saya mohon bantuannya untuk menghubungi admin cabang Grapari Cijantung Mall di Instagram karena tidak memberikan saya nomor yang bisa dihubungi di cabang sana, kemarin saya mengurus SIM Card yang kadaluarsa menggunakan KTP saya dan sekarang Saya tidak punya KTP. Saya ingin memastikan ada sesuatu di sana atau tidak",1
"Nomor @3Indonesia sering mendapat panggilan tidak jelas di tengah malam, Seram! 😨",1
"Kecepatan internet XL lambat banget, urusan mendesak jadi tertunda, bikin aku stres. ⏳ #XLCemas",1
Gimana kalo jaringan error pas lagi situasi darurat?,1
"Begitu sinyal Axis terganggu lagi, rasa cemas itu datang lagi. Bayangkan saat Anda bergantung pada sinyal untuk pekerjaan atau komunikasi, tapi tiba-tiba sinyal itu menghilang. Pikiran langsung dipenuhi dengan kekhawatiran akan konsekuensi yang mungkin timbul, membuat jantung berdegup kencang dalam ketakutan.",1
"Layanan XL privasi terancam, repot kalo semua data bisa diakses orang lain. 😬 #XLPrivasi",1
"Internet XL lemot banget, urusan mendesak jadi tertunda, aku khawatir banget. ⏳",1
"Indosat sering banget putus, bikin stres kalau lagi ada urusan penting yang nggak bisa ditunda. 📵 #IndosatPutus",1
"Pas perlu XL sinyalnya gak ada, deg-degan banget.",1
"Pake Telkomsel tuh kadang bikin gue resah sendiri. Meski sering oke, tapi tiba-tiba sinyalnya ilang, khususnya pas lagi mau nelpon penting atau lagi cari info penting online. Takut kelewat peluang atau info penting.",1
"Jaringan 3 sering banget error tiba-tiba, stres abis pas lagi butuh buat kerjaan penting. 💼 #3Error",1
Sinyal Axis ilang pas di perjalanan butuh internet buat GPS. #AxisGPS,1
Khawatir akan penipuan,1
Indosat sering mati mendadak pas browsing penting. Stres nggak bisa akses info.,1
"Voucher kuota @XL Axiata nggak bisa diaktifkan, kenapa ya? 😟 Takut nggak bisa dipakai.",1
"Internet XL yang lambat membuat saya takut tidak bisa bekerja dengan baik, tenggat waktu semakin dekat. 📆 #XLlambat",1
"Saya khawatir jika data penting bisa disadap melalui jaringan Telkomsel oleh hacker, maka privasi akan sangat terancam. 🕵️ ‍♀️ #TelkomselNyadap",1
@Axis kuota baru diisi tapi nggak masuk-masuk. 😣 Takut ini ada yang salah.,1
"Pulsa @Axis tiba-tiba tersedot, padahal saya tidak menggunakan apa pun. Aku takut kenapa bisa seperti ini.",1
"Min, silakan cek DM. Jika nomor telepon tidak ada sinyal, apakah masa aktifnya sudah lewat? 
 
 Kalau iya, apakah bisa saya aktifkan lagi atau tidak? @Telkomsel",1
"XL sedang terganggu, serasa dikejar tenggat waktu, takut ketinggalan update penting dari kantor.",1
"Gila, udah jelasin nggak mau pindah ke pasca bayar, kok tetep aja dipindahin?! 😔 @Telkomsel tolong bantu ini gimana.",1
"Menakutkan jika sinyal 3 tiba-tiba putus saat ada panggilan penting, semua rencana Anda kacau dan membuat stres. 📞 #3 Putus",1
"XL katanya bakal ngeluarin layanan baru, tapi gue agak gusar. Apa nggak bakal repot lagi kalo layanannya nggak stabil dan malah bikin kita susah telepon atau chat? Rasanya deg-degan aja mikirin kemungkinan buruknya. 😰",1
"Telkomsel sering hilang sinyal, panik kalau urgent nggak bisa minta bantuan.",1
"Setiap membuka pesan masuk, Anda selalu berharap akan ada kode unik untuk menebus akses, namun hingga saat ini belum ada. Sudah dicek berkali-kali, tapi tetap tidak ada. Mohon bantuannya @Telkomsel, jangan begini terus! 😔 #Belum MenerimaKode #Dibutuhkan Bantuan",1
"Kalau internet XL lemot saat sedang sangat membutuhkannya, stres! #XLlambat",1
Internet XL yang sangat lambat membuat saya khawatir pekerjaan saya tidak akan selesai tepat waktu. ⏳ #XLCanxious,1
"Sinyal Axis kurang jelas sehingga bikin deg-degan saat mau video call, khawatir putus di tengah-tengah.",1
Jaringan 3 suka mogok secara tiba-tiba sehingga menimbulkan stres saat Anda benar-benar membutuhkannya. 💼 #3Kesalahan,1
"Data pribadi sering dicuri lewat jaringan Indosat yang rusak, saya takut banget. 🔓 #IndosatKhawatir",1
"Sinyal Axis bikin cemas, kenapa suka ilang gitu? Bikin takut gak bisa streaming musik di Spotify.",1
"Menunggu kabar penting, Telkomsel kehilangan sinyal. Benar-benar panik, tidak dapat menerima informasi penting.",1
"Takutnya kalau sinyalnya hilang di saat kritis, bisa berbahaya.",1
"Internet XL sering lemot, khawatir pekerjaan tertunda dan takut marah.",1
"Takut banget kalau ada hacker yang bisa menyadap percakapan telepon kita lewat jaringan XL, privasi kita bakalan terancam banget. 🚨 #XLNyadap",1
"Halo @aduanPPI tolong bantu usutdan blokir nomor 081277820246 karena telah mengaku2 sebagai ayah saya dan meminta uang lewat Whatsapp..

Cc : 
@Telkomsel @simPATI 
#penipuan #penipu #ScamAlert",1
Bagaimana cara mengatasi panggilan spam di @Telkomsel? Sering banget diteror tengah malam! 😱,1
"Aku bersumpah, @XL! Anda terus menerima panggilan spam, yang membuat Anda cemas!",1
"Internet XL sering mati tiba-tiba, stres kalau lagi streaming film favorit.",1
"Autodebit @Telkomsel sekarang sudah dinonaktifkan, tapi bagaimana cara mendapatkan kembali tagihan 2 bulan terakhir? Telp 0811963678 tapi tidak diangkat, WA diblokir. Pemiliknya benar-benar bermental pencopet!! Mohon bantuannya untuk menjaga pelanggan telkomsel min ðŸ™ ðŸ »",1
"Sumbu internetnya lemot banget, khawatirnya gak bisa browsing. #AxisLelet",1
"Tiap cek pulsa Indosat, takut tiba-tiba habis aja.",1
"Signal 3 sering error saat mendownload file berukuran besar, saya khawatir sekali file tersebut tidak akan selesai dan tidak bisa digunakan. 💼 #3Kesalahan",1
"Saya mendapat telepon dari nomor yang mengaku dari @Indosat, menanyakan data pribadi saya. Takutnya itu penipuan, apalagi sekarang sudah semakin banyak cara seperti ini. 😟",1
Takut kalo sinyal jelek bikin gagal komunikasi pas perlu banget.,1
"Telkomsel sering banget ilang sinyal pas lagi urgent, panik kalau nggak bisa hubungi orang penting.",1
"XL bikin was-was, sinyalnya sering error, takut gak bisa buka live Instagram artis favorit.",1
"Udah berapa kali coba daftar di Indosat, tapi selalu aja gagal. Bikin deg-degan, takutnya nanti akun jadi terancam.",1
@Telkomsel Telpon 188 dimintain pin Tcare. Sms minta pin Tcare sms ke 111 ga bisa padahal saya kartu halo. Sms ke 116 dibales pin 6 digit. Saya telpon lagi 188 masukin pin Tcare dibilang salah. Trus gmana ini ????????!!!!!!!!! Tolong !!!!!!!!,1
"Sangat menakutkan sampai saya hampir diteror melalui telepon! 😨 Segera ada nomor tak dikenal yang menelepon, suaranya sangat mengancam. @ XL123, apakah Anda punya saran untuk melindungi pelanggan dari situasi seperti ini? 🤔 #AwasTelephoneTerror #ButuhPerlindungan",1
"Mendengar kabar Indosat akan meluncurkan layanan baru, saya langsung merasa grogi. Bagaimana jika layanan tersebut membuat sinyal semakin tidak stabil dan kita sulit terhubung dengan keluarga dan teman? 😰",1
"Gimana sih, sinyal XL lagi kumat gangguannya. Rasanya was-was terus kalo mau ngirim pesan penting.",1
"Hacker bisa nyadap percakapan penting lewat Telkomsel, privasi kebongkar! 🕵️‍♀️ #TelkomselNyadap",1
"Axis sering banget tiba-tiba mati, bikin cemas kalau ada keadaan darurat dan nggak bisa ngabarin siapa-siapa. 📵 #AxisMati",1
"Axis sering banget ngadat pas browsing, khawatir nggak bisa dapet info penting yang dibutuhin buat kerjaan dan ketinggalan update, jadi nggak efektif. 📵 #AxisNgadat",1
"@Telkomsel contohnya ATM dan KTP saya hilang, cukup bawa suket kehilangan masalah kelar. Selama kita hapal, dan bisa validasi keakuratan data kita. Kaya transaksi terakhir, nominalnya berapa dan hal kecil lainnya.",1
"Sinyal Telkomsel hilang pas lagi keadaan darurat, aku nggak bisa minta bantuan, panik banget! 🆘 #TelkomselPanik",1
Khawatir data pribadi dicuri melalui jaringan Indosat. #IndosatData,1
"Serem banget dapet pesan dari nomor nggak dikenal ngaku dari @Telkomsel, minta data pribadi. 😰",1
"Kecepatan internet XL lambat, khawatir nggak bisa kerja tepat waktu. #XLLambat",1
